pl,sg,broad_category,category,synset
dispersions,dispersion,noun.event,noun.event.movement,dispersion.n.01
looms,loom,noun.artifact,noun.artifact.machine,loom.n.01
detainees,detainee,noun.person,noun.person.unfortunate,detainee.n.01
correspondents,correspondent,noun.person,noun.person.communicator,correspondent.n.01
shellacs,shellac,noun.substance,noun.substance.animal_material,shellac.n.01
ranchers,rancher,noun.person,noun.person.creator,rancher.n.01
packets,packet,noun.group,noun.group.collection,package.n.01
alpacas,alpaca,noun.substance,noun.substance.animal_material,alpaca.n.01
lbs,lb,noun.quantity,noun.quantity.mass_unit,pound.n.01
markings,marking,noun.communication,noun.communication.signal,marker.n.02
kidnappings,kidnapping,noun.act,noun.act.wrongdoing,kidnapping.n.01
controllers,controller,noun.person,noun.person.capitalist,accountant.n.01
ribbons,ribbon,noun.object,noun.object,ribbon.n.01
trailers,trailer,noun.person,noun.person.nonworker,dawdler.n.01
syrups,syrup,noun.food,noun.food.foodstuff,syrup.n.01
bruins,bruin,noun.animal,noun.animal.carnivore,bruin.n.01
brokers,broker,noun.person,noun.person.capitalist,agent.n.04
diets,diet,noun.food,noun.food,diet.n.01
patties,patty,noun.food,noun.food.nutriment,patty.n.01
humpbacks,humpback,noun.state,noun.state.abnormality,kyphosis.n.01
canyons,canyon,noun.object,noun.object.geological_formation,canyon.n.01
fluctuations,fluctuation,noun.event,noun.event.movement,fluctuation.n.01
dimes,dime,noun.possession,noun.possession.system_of_measurement,dime.n.01
scorers,scorer,noun.person,noun.person.contestant,scorer.n.01
spoilers,spoiler,noun.person,noun.person.leader,spoiler.n.01
weeknights,weeknight,noun.time,noun.time,weeknight.n.01
sms,sm,noun.substance,noun.substance.chemical_element,samarium.n.01
sequels,sequel,noun.event,noun.event.ending,sequel.n.01
transitions,transition,noun.act,noun.act.change_of_state,passage.n.01
whistles,whistle,noun.event,noun.event.sound,whistle.n.01
fullbacks,fullback,noun.person,noun.person.contestant,fullback.n.01
haters,hater,noun.person,noun.person,hater.n.01
jerkers,jerker,noun.person,noun.person.traveler,yanker.n.01
els,el,noun.relation,noun.relation,elevation.n.03
kts,kt,noun.quantity,noun.quantity,karat.n.01
fiends,fiend,noun.person,noun.person.unwelcome_person,monster.n.04
tongues,tongue,noun.body,noun.body.organ,tongue.n.01
proteins,protein,noun.substance,noun.substance.macromolecule,protein.n.01
chews,chew,noun.food,noun.food.indefinite_quantity,chew.n.01
conclusions,conclusion,noun.cognition,noun.cognition.belief,decision.n.02
cuffs,cuff,noun.artifact,noun.artifact,cuff.n.01
butterflies,butterfly,noun.animal,noun.animal.arthropod,butterfly.n.01
pranks,prank,noun.act,noun.act.diversion,buffoonery.n.01
biologists,biologist,noun.person,noun.person.scientist,biologist.n.01
jars,jar,noun.artifact,noun.artifact.vessel,jar.n.01
bandits,bandit,noun.person,noun.person.bad_person,bandit.n.01
hipsters,hipster,noun.person,noun.person.disputant,hippie.n.01
sculptures,sculpture,noun.artifact,noun.artifact.art,sculpture.n.01
palms,palm,noun.body,noun.body.area,palm.n.01
feds,fed,noun.person,noun.person.skilled_worker,federal.n.02
chores,chore,noun.act,noun.act.work,job.n.02
defendants,defendant,noun.person,noun.person.party,defendant.n.01
fanatics,fanatic,noun.person,noun.person.advocate,fanatic.n.01
traders,trader,noun.person,noun.person.capitalist,trader.n.01
declines,decline,noun.process,noun.process,decline.n.01
pilgrimages,pilgrimage,noun.act,noun.act.motion,pilgrimage.n.01
perpetrators,perpetrator,noun.person,noun.person.bad_person,perpetrator.n.01
techs,tech,noun.group,noun.group.institution,technical_school.n.01
futures,future,noun.time,noun.time,future.n.01
wolves,wolf,noun.animal,noun.animal.carnivore,wolf.n.01
nightclubs,nightclub,noun.artifact,noun.artifact.establishment,cabaret.n.01
malls,mall,noun.artifact,noun.artifact.way,promenade.n.02
safeguards,safeguard,noun.act,noun.act.choice,precaution.n.01
americans,american,noun.person,noun.person.inhabitant,american.n.01
innocents,innocent,noun.person,noun.person,innocent.n.01
informants,informant,noun.person,noun.person.communicator,informant.n.01
inroads,inroad,noun.act,noun.act.wrongdoing,inroad.n.01
kamikazes,kamikaze,noun.artifact,noun.artifact.conveyance,kamikaze.n.01
objectors,objector,noun.person,noun.person,dissenter.n.01
cockpits,cockpit,noun.artifact,noun.artifact.area,cockpit.n.01
supports,support,noun.act,noun.act,support.n.01
geeks,geek,noun.person,noun.person.entertainer,geek.n.01
oddballs,oddball,noun.person,noun.person.anomaly,eccentric.n.01
heirs,heir,noun.person,noun.person.acquirer,heir.n.01
birdies,birdie,noun.quantity,noun.quantity.number,birdie.n.01
contaminants,contaminant,noun.substance,noun.substance,contaminant.n.01
commissioners,commissioner,noun.person,noun.person.leader,commissioner.n.01
crests,crest,noun.location,noun.location.line,crest.n.01
guessers,guesser,noun.person,noun.person,guesser.n.01
gorillas,gorilla,noun.animal,noun.animal.primate,gorilla.n.01
crackers,cracker,noun.food,noun.food.foodstuff,cracker.n.01
gyros,gyro,noun.food,noun.food.nutriment,gyro.n.01
hires,hire,noun.person,noun.person.employee,hire.n.01
scares,scare,noun.state,noun.state.psychological_state,panic.n.02
comebacks,comeback,noun.communication,noun.communication.speech_act,rejoinder.n.01
abductors,abductor,noun.person,noun.person.bad_person,kidnapper.n.01
medleys,medley,noun.communication,noun.communication.auditory_communication,medley.n.01
outings,outing,noun.act,noun.act.motion,excursion.n.01
shortages,shortage,noun.attribute,noun.attribute.magnitude,deficit.n.01
mysteries,mystery,noun.cognition,noun.cognition.psychological_state,mystery.n.01
supermarkets,supermarket,noun.artifact,noun.artifact.establishment,supermarket.n.01
primates,primate,noun.person,noun.person.leader,archpriest.n.01
zoos,zoo,noun.artifact,noun.artifact.facility,menagerie.n.02
airfares,airfare,noun.possession,noun.possession.transferred_property,airfare.n.01
plumbers,plumber,noun.person,noun.person.skilled_worker,plumber.n.01
bakers,baker,noun.person,noun.person.capitalist,baker.n.01
unknowns,unknown,noun.location,noun.location.region,unknown.n.01
penguins,penguin,noun.animal,noun.animal.aquatic_bird,penguin.n.01
cures,cure,noun.artifact,noun.artifact.medicine,remedy.n.02
stretches,stretch,noun.object,noun.object.amorphous_shape,stretch.n.01
sermons,sermon,noun.communication,noun.communication.speech_act,sermon.n.01
casualties,casualty,noun.person,noun.person.unfortunate,casualty.n.01
broncos,bronco,noun.animal,noun.animal.ungulate,bronco.n.01
hazelnuts,hazelnut,noun.plant,noun.plant.angiospermous_tree,hazelnut.n.01
pandas,panda,noun.animal,noun.animal.carnivore,giant_panda.n.01
keepers,keeper,noun.person,noun.person.preserver,keeper.n.01
trackers,tracker,noun.person,noun.person.skilled_worker,tracker.n.01
lumberjacks,lumberjack,noun.person,noun.person.employee,lumberman.n.01
aisles,aisle,noun.artifact,noun.artifact.way,aisle.n.01
partygoers,partygoer,noun.person,noun.person.peer,partygoer.n.01
forecasts,forecast,noun.communication,noun.communication.statement,prognosis.n.01
residences,residence,noun.location,noun.location.point,residence.n.01
driveways,driveway,noun.artifact,noun.artifact.way,driveway.n.01
gardeners,gardener,noun.person,noun.person.expert,gardener.n.01
fragrances,fragrance,noun.cognition,noun.cognition.process,aroma.n.02
mouths,mouth,noun.body,noun.body.passage,mouth.n.01
cavities,cavity,noun.object,noun.object.geological_formation,pit.n.01
hammers,hammer,noun.artifact,noun.artifact.mechanism,hammer.n.01
overpasses,overpass,noun.artifact,noun.artifact,overpass.n.01
logos,logo,noun.communication,noun.communication.signal,logo.n.01
gumdrops,gumdrop,noun.food,noun.food.nutriment,gumdrop.n.01
bunnies,bunny,noun.person,noun.person.employee,bunny.n.01
powders,powder,noun.substance,noun.substance,powder.n.01
shuttles,shuttle,noun.artifact,noun.artifact.equipment,shuttlecock.n.01
elevations,elevation,noun.event,noun.event.movement,elevation.n.01
shoots,shoot,noun.plant,noun.plant,shoot.n.01
payers,payer,noun.person,noun.person.money_handler,payer.n.01
rises,rise,noun.event,noun.event.beginning,rise.n.01
cemeteries,cemetery,noun.location,noun.location.region,cemetery.n.01
quakes,quake,noun.event,noun.event,earthquake.n.01
lifts,lift,noun.act,noun.act.aid,lift.n.01
procrastinators,procrastinator,noun.person,noun.person,procrastinator.n.01
filers,filer,noun.person,noun.person.party,filer.n.01
handoffs,handoff,noun.act,noun.act.idea,handoff.n.01
refunds,refund,noun.possession,noun.possession.transferred_property,refund.n.01
landmarks,landmark,noun.location,noun.location.point,landmark.n.01
terriers,terrier,noun.animal,noun.animal.carnivore,terrier.n.01
calves,calf,noun.animal,noun.animal.young,calf.n.01
flares,flare,noun.shape,noun.shape,flare.n.01
airs,air,noun.substance,noun.substance.fluid,air.n.01
accents,accent,noun.communication,noun.communication.auditory_communication,accent.n.01
disputes,dispute,noun.communication,noun.communication.speech_act,dispute.n.01
outbursts,outburst,noun.communication,noun.communication.visual_communication,effusion.n.01
molars,molar,noun.body,noun.body.tissue,molar.n.01
copies,copy,noun.communication,noun.communication.indication,transcript.n.02
woes,woe,noun.state,noun.state.condition,suffering.n.02
pitchers,pitcher,noun.person,noun.person.contestant,pitcher.n.01
strikeouts,strikeout,noun.act,noun.act.nonaccomplishment,strikeout.n.01
blazers,blazer,noun.artifact,noun.artifact.clothing,blazer.n.01
attendees,attendee,noun.person,noun.person.peer,attendant.n.02
bales,bale,noun.artifact,noun.artifact,bale.n.01
generators,generator,noun.artifact,noun.artifact.equipment,generator.n.01
runways,runway,noun.artifact,noun.artifact.bar,track.n.09
bulldozers,bulldozer,noun.artifact,noun.artifact.conveyance,bulldozer.n.01
tunes,tune,noun.communication,noun.communication.auditory_communication,tune.n.01
bartenders,bartender,noun.person,noun.person.employee,bartender.n.01
hues,hue,noun.attribute,noun.attribute.visual_property,hue.n.01
dunes,dune,noun.object,noun.object.geological_formation,dune.n.01
footprints,footprint,noun.communication,noun.communication.indication,footprint.n.01
formations,formation,noun.group,noun.group.arrangement,formation.n.01
sands,sand,noun.substance,noun.substance.earth,sand.n.01
riddles,riddle,noun.communication,noun.communication.subject,riddle.n.01
grills,grill,noun.artifact,noun.artifact.building,grillroom.n.01
quesadillas,quesadilla,noun.food,noun.food.nutriment,quesadilla.n.01
sliders,slider,noun.person,noun.person,skidder.n.01
pacifiers,pacifier,noun.person,noun.person.communicator,conciliator.n.01
als,al,noun.substance,noun.substance.chemical_element,aluminum.n.01
imbalances,imbalance,noun.state,noun.state.situation,imbalance.n.01
inventories,inventory,noun.communication,noun.communication.information,inventory.n.01
avocadoes,avocado,noun.food,noun.food.reproductive_structure,avocado.n.01
husks,husk,noun.substance,noun.substance.plant_material,chaff.n.01
silks,silk,noun.artifact,noun.artifact.fabric,silk.n.01
kernels,kernel,noun.plant,noun.plant,kernel.n.01
towels,towel,noun.artifact,noun.artifact.fabric,towel.n.01
sandals,sandal,noun.artifact,noun.artifact.footwear,sandal.n.01
swimsuits,swimsuit,noun.artifact,noun.artifact.clothing,swimsuit.n.01
potatoes,potato,noun.food,noun.food.produce,potato.n.01
grapes,grape,noun.food,noun.food.reproductive_structure,grape.n.01
creams,cream,noun.group,noun.group.people,cream.n.01
predictors,predictor,noun.person,noun.person.intellectual,forecaster.n.01
breakups,breakup,noun.act,noun.act.change_of_state,dissolution.n.05
olives,olive,noun.plant,noun.plant.reproductive_structure,olive.n.01
nerds,nerd,noun.person,noun.person,swot.n.01
constellations,constellation,noun.cognition,noun.cognition.structure,configuration.n.01
assignments,assignment,noun.act,noun.act.work,assignment.n.01
pacs,pac,noun.group,noun.group.unit,political_action_committee.n.01
gallons,gallon,noun.quantity,noun.quantity.volume_unit,gallon.n.01
closets,closet,noun.artifact,noun.artifact.area,cupboard.n.01
skewers,skewer,noun.artifact,noun.artifact.restraint,skewer.n.01
cows,cow,noun.animal,noun.animal.ungulate,cow.n.01
pumps,pump,noun.artifact,noun.artifact.mechanism,pump.n.01
bleachers,bleacher,noun.person,noun.person,bleacher.n.01
sequins,sequin,noun.artifact,noun.artifact.decoration,sequin.n.01
lionesses,lioness,noun.animal,noun.animal.carnivore,lioness.n.01
acrobats,acrobat,noun.person,noun.person.contestant,acrobat.n.01
deployments,deployment,noun.act,noun.act,deployment.n.01
pods,pod,noun.plant,noun.plant.covering,pod.n.01
firings,firing,noun.act,noun.act.operation,fire.n.02
companions,companion,noun.person,noun.person.friend,companion.n.01
outfitters,outfitter,noun.person,noun.person.creator,outfitter.n.01
paratroopers,paratrooper,noun.person,noun.person.skilled_worker,paratrooper.n.01
sauces,sauce,noun.food,noun.food.foodstuff,sauce.n.01
takeaways,takeaway,noun.food,noun.food,takeout.n.01
sugars,sugar,noun.food,noun.food.foodstuff,sugar.n.01
spices,spice,noun.substance,noun.substance,spice.n.01
milligrams,milligram,noun.quantity,noun.quantity.mass_unit,milligram.n.01
witches,witch,noun.person,noun.person,enchantress.n.02
tomatos,tomato,noun.food,noun.food.produce,tomato.n.01
stews,stew,noun.state,noun.state.psychological_state,fret.n.01
spoils,spoil,noun.possession,noun.possession.transferred_property,spoil.n.01
spas,spa,noun.location,noun.location.region,watering_place.n.01
amps,amp,noun.quantity,noun.quantity.electromagnetic_unit,ampere.n.02
myths,myth,noun.communication,noun.communication.literary_composition,myth.n.01
sinuses,sinus,noun.body,noun.body.passage,fistula.n.02
strands,strand,noun.cognition,noun.cognition.structure,strand.n.01
droplets,droplet,noun.quantity,noun.quantity.indefinite_quantity,droplet.n.01
knobs,knob,noun.artifact,noun.artifact.projection,knob.n.01
nodes,node,noun.shape,noun.shape,node.n.01
lozenges,lozenge,noun.food,noun.food.nutriment,lozenge.n.01
menthols,menthol,noun.substance,noun.substance,menthol.n.01
reins,rein,noun.artifact,noun.artifact,rein.n.01
throats,throat,noun.body,noun.body.cavity,throat.n.01
capsules,capsule,noun.artifact,noun.artifact,capsule.n.01
hydrates,hydrate,noun.substance,noun.substance,hydrate.n.01
fugitives,fugitive,noun.person,noun.person,fugitive.n.01
leaseholders,leaseholder,noun.person,noun.person.money_handler,leaseholder.n.01
inconsistencies,inconsistency,noun.relation,noun.relation,incompatibility.n.01
rituals,ritual,noun.act,noun.act,ritual.n.01
traitors,traitor,noun.person,noun.person.bad_person,traitor.n.01
disclosures,disclosure,noun.communication,noun.communication.speech_act,disclosure.n.01
undergarments,undergarment,noun.artifact,noun.artifact.clothing,undergarment.n.01
gemstones,gemstone,noun.substance,noun.substance.crystal,gem.n.02
tvs,tv,noun.communication,noun.communication.medium,television.n.01
splinters,splinter,noun.object,noun.object.fragment,splinter.n.01
tycoons,tycoon,noun.person,noun.person.capitalist,baron.n.03
salons,salon,noun.artifact,noun.artifact.area,salon.n.01
buffoons,buffoon,noun.person,noun.person.simpleton,clown.n.01
buttons,button,noun.artifact,noun.artifact.restraint,button.n.01
budgets,budget,noun.possession,noun.possession.system_of_measurement,budget.n.01
simulators,simulator,noun.artifact,noun.artifact.machine,simulator.n.01
guarantees,guarantee,noun.communication,noun.communication,guarantee.n.01
references,reference,noun.communication,noun.communication.statement,mention.n.01
dorks,dork,noun.person,noun.person.anomaly,jerk.n.01
cranks,crank,noun.person,noun.person.unwelcome_person,grouch.n.01
ashtrays,ashtray,noun.artifact,noun.artifact,ashtray.n.01
newlyweds,newlywed,noun.person,noun.person.domestic_partner,newlywed.n.01
candies,candy,noun.food,noun.food.nutriment,candy.n.01
villains,villain,noun.person,noun.person.unwelcome_person,villain.n.01
corks,cork,noun.substance,noun.substance,cork.n.01
favors,favor,noun.act,noun.act,favor.n.01
embarrassments,embarrassment,noun.feeling,noun.feeling,embarrassment.n.01
columns,column,noun.group,noun.group.arrangement,column.n.01
deletions,deletion,noun.process,noun.process,omission.n.03
tabloids,tabloid,noun.communication,noun.communication.medium,yellow_journalism.n.01
observers,observer,noun.person,noun.person,perceiver.n.01
quotas,quota,noun.quantity,noun.quantity.number,quota.n.01
arrivals,arrival,noun.act,noun.act.accomplishment,arrival.n.01
tits,tit,noun.body,noun.body.organ,breast.n.02
pussies,pussy,noun.body,noun.body.organ,cunt.n.02
nipples,nipple,noun.body,noun.body.organ,nipple.n.01
vouchers,voucher,noun.person,noun.person.advocate,voucher.n.01
assholes,asshole,noun.person,noun.person.unwelcome_person,asshole.n.01
certs,cert,noun.attribute,noun.attribute,cert.n.01
boobs,boob,noun.person,noun.person.simpleton,dumbbell.n.02
gougers,gouger,noun.person,noun.person.combatant,gouger.n.01
tenths,tenth,noun.quantity,noun.quantity.number,one-tenth.n.01
pedophiles,pedophile,noun.person,noun.person.bad_person,pedophile.n.01
hippies,hippie,noun.person,noun.person.disputant,hippie.n.01
jetties,jetty,noun.artifact,noun.artifact.obstruction,breakwater.n.01
smears,smear,noun.communication,noun.communication.disrespect,smear.n.01
diners,diner,noun.person,noun.person.user,diner.n.01
wrappers,wrapper,noun.artifact,noun.artifact.clothing,negligee.n.01
burritos,burrito,noun.food,noun.food.nutriment,burrito.n.01
muffins,muffin,noun.food,noun.food.foodstuff,muffin.n.01
preps,prep,noun.act,noun.act.work,homework.n.01
wizards,wizard,noun.person,noun.person.expert,ace.n.03
spells,spell,noun.state,noun.state.psychological_state,enchantment.n.02
cheesecakes,cheesecake,noun.food,noun.food.baked_goods,cheesecake.n.01
scammers,scammer,noun.person,noun.person.bad_person,swindler.n.01
swells,swell,noun.event,noun.event.movement,swell.n.01
breezes,breeze,noun.phenomenon,noun.phenomenon.physical_phenomenon,breeze.n.01
ushers,usher,noun.person,noun.person,ussher.n.01
smiths,smith,noun.person,noun.person,smith.n.01
nurseries,nursery,noun.artifact,noun.artifact.area,nursery.n.01
railings,railing,noun.artifact,noun.artifact.obstruction,railing.n.01
slats,slat,noun.artifact,noun.artifact.building_material,slat.n.01
pillows,pillow,noun.artifact,noun.artifact,pillow.n.01
duvets,duvet,noun.artifact,noun.artifact.cloth_covering,eiderdown.n.01
quilts,quilt,noun.artifact,noun.artifact.cloth_covering,quilt.n.01
sacks,sack,noun.artifact,noun.artifact.bag,sack.n.01
firms,firm,noun.group,noun.group.enterprise,firm.n.01
pediatricians,pediatrician,noun.person,noun.person.adult,baby_doctor.n.01
daddies,daddy,noun.person,noun.person.relative,dad.n.01
yeses,yes,noun.communication,noun.communication.statement,yes.n.01
lumps,lump,noun.group,noun.group.collection,ball.n.08
remedies,remedy,noun.act,noun.act.change_of_state,redress.n.02
penises,penis,noun.body,noun.body.organ,penis.n.01
thrusters,thruster,noun.person,noun.person.traveler,pusher.n.01
heathens,heathen,noun.person,noun.person.nonreligious_person,heathen.n.01
forks,fork,noun.artifact,noun.artifact.ware,fork.n.01
slogans,slogan,noun.communication,noun.communication.auditory_communication,motto.n.01
pros,pro,noun.person,noun.person.contestant,professional.n.02
bouncers,bouncer,noun.person,noun.person.preserver,bouncer.n.01
crabs,crab,noun.animal,noun.animal.arthropod,crab.n.01
appetizers,appetizer,noun.food,noun.food.nutriment,appetizer.n.01
croissants,croissant,noun.food,noun.food.foodstuff,crescent_roll.n.01
classics,classic,noun.artifact,noun.artifact,classic.n.01
beelines,beeline,noun.location,noun.location.line,beeline.n.01
setups,setup,noun.artifact,noun.artifact.equipment,apparatus.n.01
cogs,cog,noun.person,noun.person.assistant,cog.n.01
vogues,vogue,noun.cognition,noun.cognition.process,vogue.n.01
quadrants,quadrant,noun.location,noun.location.line,quadrant.n.01
counterparts,counterpart,noun.cognition,noun.cognition,counterpart.n.01
savages,savage,noun.person,noun.person,savage.n.01
clans,clan,noun.group,noun.group.kin,kin.n.02
conniptions,conniption,noun.state,noun.state,fit.n.01
pleasantries,pleasantry,noun.act,noun.act.diversion,pleasantry.n.01
frames,frame,noun.artifact,noun.artifact.supporting_structure,frame.n.01
smarts,smart,noun.state,noun.state.evidence,smart.n.01
representations,representation,noun.cognition,noun.cognition.representation,representation.n.01
invoices,invoice,noun.communication,noun.communication.document,bill.n.02
assassinations,assassination,noun.communication,noun.communication.disrespect,character_assassination.n.01
persuasions,persuasion,noun.communication,noun.communication.communication,persuasion.n.01
inns,inn,noun.artifact,noun.artifact.building,hostel.n.01
authors,author,noun.person,noun.person.communicator,writer.n.01
biographies,biography,noun.communication,noun.communication.indication,biography.n.01
philanthropies,philanthropy,noun.act,noun.act,philanthropy.n.01
helpers,helper,noun.person,noun.person.assistant,assistant.n.01
outlaws,outlaw,noun.person,noun.person.bad_person,criminal.n.01
saloons,saloon,noun.artifact,noun.artifact.area,barroom.n.01
adventurers,adventurer,noun.person,noun.person,adventurer.n.01
miners,miner,noun.person,noun.person.employee,miner.n.01
waterfalls,waterfall,noun.object,noun.object.body_of_water,waterfall.n.01
mimics,mimic,noun.person,noun.person.bad_person,mimic.n.01
ribs,rib,noun.artifact,noun.artifact.support,rib.n.01
cowboys,cowboy,noun.person,noun.person.employee,cowboy.n.01
jumpers,jumper,noun.person,noun.person,jumper.n.01
pals,pal,noun.person,noun.person.friend,buddy.n.01
stereotypes,stereotype,noun.cognition,noun.cognition.representation,stereotype.n.01
dudes,dude,noun.person,noun.person.adult,fellow.n.06
natives,native,noun.person,noun.person,native.n.01
blankets,blanket,noun.artifact,noun.artifact.cloth_covering,blanket.n.01
gatherings,gathering,noun.group,noun.group.gathering,gathering.n.01
transfers,transfer,noun.act,noun.act.movement,transportation.n.02
seismographs,seismograph,noun.artifact,noun.artifact.measuring_instrument,seismograph.n.01
distinctions,distinction,noun.cognition,noun.cognition.process,differentiation.n.01
outbreaks,outbreak,noun.event,noun.event,outbreak.n.01
heists,heist,noun.act,noun.act.wrongdoing,heist.n.01
fingerprints,fingerprint,noun.communication,noun.communication.indication,fingerprint.n.01
jackpots,jackpot,noun.possession,noun.possession.assets,pot.n.06
billboards,billboard,noun.artifact,noun.artifact,billboard.n.01
lattes,latte,noun.food,noun.food.fluid,caffe_latte.n.01
techniques,technique,noun.cognition,noun.cognition.ability,technique.n.01
trenches,trench,noun.artifact,noun.artifact.excavation,trench.n.01
tenants,tenant,noun.person,noun.person.money_handler,tenant.n.01
screws,screw,noun.person,noun.person.preserver,prison_guard.n.01
descendants,descendant,noun.person,noun.person.relative,descendant.n.01
uncertainties,uncertainty,noun.attribute,noun.attribute,uncertainty.n.01
origins,origin,noun.location,noun.location.point,beginning.n.04
electrolytes,electrolyte,noun.substance,noun.substance.mixture,electrolyte.n.01
oranges,orange,noun.food,noun.food.reproductive_structure,orange.n.01
spenders,spender,noun.person,noun.person,spender.n.01
concepts,concept,noun.cognition,noun.cognition.idea,concept.n.01
excursions,excursion,noun.act,noun.act.motion,excursion.n.01
deliverables,deliverable,noun.artifact,noun.artifact.product,deliverable.n.01
committees,committee,noun.group,noun.group.unit,committee.n.01
birthdays,birthday,noun.time,noun.time.calendar_day,birthday.n.01
kats,kat,noun.artifact,noun.artifact,kat.n.01
foothills,foothill,noun.object,noun.object.geological_formation,foothill.n.01
resorts,resort,noun.location,noun.location,resort.n.01
snowfalls,snowfall,noun.phenomenon,noun.phenomenon.physical_phenomenon,snow.n.01
departures,departure,noun.act,noun.act,departure.n.01
curtains,curtain,noun.artifact,noun.artifact.protective_covering,curtain.n.01
democracies,democracy,noun.cognition,noun.cognition.attitude,democracy.n.01
oligarchies,oligarchy,noun.group,noun.group.political_system,oligarchy.n.01
governorships,governorship,noun.act,noun.act.occupation,governorship.n.01
creeks,creek,noun.object,noun.object.body_of_water,brook.n.01
disapprovals,disapproval,noun.feeling,noun.feeling.dislike,disapproval.n.01
castles,castle,noun.artifact,noun.artifact.housing,palace.n.01
gestures,gesture,noun.act,noun.act.motion,gesture.n.01
bearings,bearing,noun.relation,noun.relation,bearing.n.01
molesters,molester,noun.person,noun.person.bad_person,molester.n.01
listers,lister,noun.person,noun.person,lister.n.01
segregationists,segregationist,noun.person,noun.person.advocate,segregator.n.01
rafters,rafter,noun.artifact,noun.artifact.support,rafter.n.01
skeptics,skeptic,noun.person,noun.person.intellectual,skeptic.n.01
anchors,anchor,noun.artifact,noun.artifact.mechanism,anchor.n.01
notebooks,notebook,noun.communication,noun.communication.product,notebook.n.01
grownups,grownup,noun.person,noun.person,adult.n.01
cafes,cafe,noun.artifact,noun.artifact.building,cafe.n.01
pubs,pub,noun.artifact,noun.artifact.building,public_house.n.01
revelers,reveler,noun.person,noun.person,reveler.n.01
grievances,grievance,noun.feeling,noun.feeling.emotion,grudge.n.01
carts,cart,noun.artifact,noun.artifact.conveyance,cart.n.01
genres,genre,noun.cognition,noun.cognition.idea,genre.n.01
proclivities,proclivity,noun.cognition,noun.cognition.attitude,proclivity.n.01
threads,thread,noun.artifact,noun.artifact.line,thread.n.01
deficiencies,deficiency,noun.state,noun.state.need,lack.n.01
adhesives,adhesive,noun.substance,noun.substance,adhesive_material.n.01
waterways,waterway,noun.object,noun.object.body_of_water,waterway.n.01
terminals,terminal,noun.artifact,noun.artifact.facility,terminal.n.01
microwaves,microwave,noun.phenomenon,noun.phenomenon.physical_phenomenon,microwave.n.01
combinations,combination,noun.group,noun.group.collection,combination.n.01
laps,lap,noun.body,noun.body.external_body_part,lap.n.01
sedatives,sedative,noun.artifact,noun.artifact.drug_of_abuse,sedative.n.01
feasts,feast,noun.group,noun.group.gathering,banquet.n.01
sanctuaries,sanctuary,noun.artifact,noun.artifact.region,sanctuary.n.01
fragments,fragment,noun.object,noun.object.fragment,fragment.n.01
carcinogens,carcinogen,noun.substance,noun.substance,carcinogen.n.01
celtics,celtic,noun.communication,noun.communication,celtic.n.01
reaches,reach,noun.location,noun.location.region,range.n.02
clashes,clash,noun.event,noun.event.sound,clang.n.01
throngs,throng,noun.group,noun.group.gathering,multitude.n.02
chutes,chute,noun.artifact,noun.artifact.equipment,parachute.n.01
radios,radio,noun.communication,noun.communication.medium,radio.n.01
parades,parade,noun.group,noun.group,parade.n.01
workloads,workload,noun.act,noun.act.occupation,workload.n.01
kites,kite,noun.possession,noun.possession.document,kite.n.01
presses,press,noun.state,noun.state.need,imperativeness.n.01
bombshells,bombshell,noun.person,noun.person.entertainer,bombshell.n.01
advertisements,advertisement,noun.communication,noun.communication.promotion,ad.n.01
releases,release,noun.artifact,noun.artifact.merchandise,release.n.01
napkins,napkin,noun.artifact,noun.artifact,napkin.n.01
beasts,beast,noun.Tops,noun.Tops,animal.n.01
rigs,rig,noun.artifact,noun.artifact.equipment,rig.n.01
gymnasts,gymnast,noun.person,noun.person.contestant,gymnast.n.01
clocks,clock,noun.artifact,noun.artifact.measuring_instrument,clock.n.01
bobcats,bobcat,noun.animal,noun.animal.carnivore,bobcat.n.01
poisonings,poisoning,noun.state,noun.state,poisoning.n.01
rodents,rodent,noun.animal,noun.animal.rodent,rodent.n.01
cockroaches,cockroach,noun.animal,noun.animal.arthropod,cockroach.n.01
roaches,roach,noun.body,noun.body.covering,roach.n.01
swarms,swarm,noun.group,noun.group.gathering,drove.n.02
panels,panel,noun.artifact,noun.artifact.sheet,panel.n.01
newscasts,newscast,noun.communication,noun.communication.information,newscast.n.01
scorecards,scorecard,noun.communication,noun.communication.information,card.n.08
agitators,agitator,noun.person,noun.person.unwelcome_person,agitator.n.01
mats,mat,noun.artifact,noun.artifact,mat.n.01
commentators,commentator,noun.person,noun.person.expert,observer.n.02
zingers,zinger,noun.communication,noun.communication.statement,zinger.n.01
invitations,invitation,noun.communication,noun.communication.representation,invitation.n.01
snapshots,snapshot,noun.artifact,noun.artifact.representation,snapshot.n.01
fixes,fix,noun.state,noun.state.difficulty,fix.n.01
scrubs,scrub,noun.group,noun.group.collection,scrub.n.01
professions,profession,noun.group,noun.group.body,profession.n.01
gathers,gather,noun.artifact,noun.artifact,gather.n.01
desks,desk,noun.artifact,noun.artifact.furnishing,desk.n.01
ringers,ringer,noun.person,noun.person.communicator,toller.n.01
staplers,stapler,noun.artifact,noun.artifact.machine,stapler.n.01
evils,evil,noun.act,noun.act.wrongdoing,evil.n.01
recorders,recorder,noun.artifact,noun.artifact.equipment,recorder.n.01
