pl,sg,broad_category,category,synset
greenbacks,greenback,noun.possession,noun.possession.system_of_measurement,bill.n.03
frenzies,frenzy,noun.state,noun.state.disorder,craze.n.02
quarterlies,quarterly,noun.communication,noun.communication.product,quarterly.n.01
squiggles,squiggle,noun.communication,noun.communication.indication,squiggle.n.01
hatemongers,hatemonger,noun.person,noun.person.unwelcome_person,hatemonger.n.01
punchers,puncher,noun.person,noun.person.employee,cowboy.n.01
taxidermists,taxidermist,noun.person,noun.person.skilled_worker,taxidermist.n.01
newsreels,newsreel,noun.communication,noun.communication.product,newsreel.n.01
riveters,riveter,noun.person,noun.person.skilled_worker,riveter.n.01
jealousies,jealousy,noun.feeling,noun.feeling.emotion,jealousy.n.01
cedars,cedar,noun.plant,noun.plant,cedar.n.01
shoguns,shogun,noun.person,noun.person.inhabitant,shogun.n.01
rollovers,rollover,noun.act,noun.act,rollover.n.01
degenerates,degenerate,noun.person,noun.person.bad_person,pervert.n.01
litterbugs,litterbug,noun.person,noun.person.unwelcome_person,litterer.n.01
calamities,calamity,noun.event,noun.event.trouble,calamity.n.01
roundtables,roundtable,noun.communication,noun.communication.auditory_communication,round_table.n.01
overdrafts,overdraft,noun.possession,noun.possession.document,overdraft.n.01
chapels,chapel,noun.artifact,noun.artifact.building,chapel.n.01
narrators,narrator,noun.person,noun.person.communicator,narrator.n.01
mechanizations,mechanization,noun.state,noun.state,mechanization.n.01
omnibuses,omnibus,noun.communication,noun.communication.product,omnibus.n.01
integers,integer,noun.quantity,noun.quantity.number,integer.n.01
commandoes,commando,noun.person,noun.person.skilled_worker,commando.n.01
culottes,culotte,noun.artifact,noun.artifact.clothing,culotte.n.01
overthrows,overthrow,noun.act,noun.act.change_of_state,overthrow.n.01
comforters,comforter,noun.person,noun.person.communicator,sympathizer.n.01
airbuses,airbus,noun.artifact,noun.artifact.conveyance,airbus.n.01
dries,dry,noun.person,noun.person.disputant,dry.n.01
congregants,congregant,noun.person,noun.person.religious_person,congregant.n.01
coloreds,colored,noun.person,noun.person.person_of_color,colored_person.n.01
subeditors,subeditor,noun.person,noun.person.skilled_worker,subeditor.n.01
suctions,suction,noun.phenomenon,noun.phenomenon.physical_phenomenon,suction.n.01
dals,dal,noun.quantity,noun.quantity,dekaliter.n.01
tacts,tact,noun.attribute,noun.attribute.morality,tact.n.01
flatterers,flatterer,noun.person,noun.person.follower,flatterer.n.01
groins,groin,noun.body,noun.body.area,groin.n.01
orifices,orifice,noun.body,noun.body.passage,orifice.n.01
ricochets,ricochet,noun.event,noun.event.movement,ricochet.n.01
soms,som,noun.quantity,noun.quantity.monetary_unit,som.n.01
initiations,initiation,noun.event,noun.event.social_event,initiation.n.01
paymasters,paymaster,noun.person,noun.person.money_handler,paymaster.n.01
telexes,telex,noun.artifact,noun.artifact.machine,teletypewriter.n.01
dockyards,dockyard,noun.location,noun.location.region,dockyard.n.01
hearses,hearse,noun.artifact,noun.artifact.conveyance,hearse.n.01
splendors,splendor,noun.attribute,noun.attribute.visual_property,luster.n.01
uzis,uzi,noun.artifact,noun.artifact.weapon,uzi.n.01
beakers,beaker,noun.artifact,noun.artifact.vessel,beaker.n.01
dictums,dictum,noun.communication,noun.communication.statement,pronouncement.n.01
washcloths,washcloth,noun.artifact,noun.artifact,washcloth.n.01
uphills,uphill,noun.object,noun.object.geological_formation,uphill.n.01
neoconservatives,neoconservative,noun.person,noun.person.adult,neoconservative.n.01
watchwords,watchword,noun.communication,noun.communication.auditory_communication,war_cry.n.01
corsets,corset,noun.artifact,noun.artifact.clothing,corset.n.01
curriculums,curriculum,noun.communication,noun.communication.information,course_of_study.n.01
slants,slant,noun.cognition,noun.cognition.attitude,slant.n.01
epidemiologists,epidemiologist,noun.person,noun.person.scientist,epidemiologist.n.01
ests,est,noun.time,noun.time,eastern_time.n.01
assessors,assessor,noun.person,noun.person.skilled_worker,tax_assessor.n.01
frameworks,framework,noun.cognition,noun.cognition.idea,model.n.01
generalists,generalist,noun.person,noun.person.intellectual,renaissance_man.n.01
coursers,courser,noun.person,noun.person.skilled_worker,courser.n.01
playbills,playbill,noun.communication,noun.communication.information,playbill.n.01
doilies,doily,noun.artifact,noun.artifact,doily.n.01
furloughs,furlough,noun.time,noun.time.time_off,furlough.n.01
broaches,broach,noun.artifact,noun.artifact.decoration,brooch.n.01
earthworms,earthworm,noun.animal,noun.animal,earthworm.n.01
earths,earth,noun.object,noun.object,earth.n.01
anklets,anklet,noun.artifact,noun.artifact.footwear,anklet.n.01
tethers,tether,noun.artifact,noun.artifact.restraint,leash.n.01
chairmans,chairman,noun.person,noun.person.leader,president.n.04
encroachments,encroachment,noun.event,noun.event.movement,invasion.n.02
sups,sup,noun.food,noun.food.indefinite_quantity,swallow.n.01
mems,mem,noun.communication,noun.communication.signal,mem.n.01
bywords,byword,noun.communication,noun.communication.auditory_communication,proverb.n.01
rubbers,rubber,noun.substance,noun.substance,rubber.n.01
scolds,scold,noun.person,noun.person.unwelcome_person,scold.n.01
coronas,corona,noun.phenomenon,noun.phenomenon.physical_phenomenon,aureole.n.01
fucks,fuck,noun.act,noun.act.organic_process,fuck.n.01
touchstones,touchstone,noun.communication,noun.communication,standard.n.01
pectorals,pectoral,noun.body,noun.body.organ,pectoral.n.01
neurotoxins,neurotoxin,noun.substance,noun.substance,neurotoxin.n.01
exactions,exaction,noun.act,noun.act,exaction.n.01
semesters,semester,noun.time,noun.time,semester.n.01
damsels,damsel,noun.person,noun.person.adult,damsel.n.01
ballerinas,ballerina,noun.person,noun.person.entertainer,ballerina.n.01
barristers,barrister,noun.person,noun.person.adult,barrister.n.01
actuations,actuation,noun.act,noun.act,propulsion.n.02
slavers,slaver,noun.person,noun.person.bad_person,slaver.n.01
lapdogs,lapdog,noun.animal,noun.animal.carnivore,lapdog.n.01
peppercorns,peppercorn,noun.food,noun.food.foodstuff,pepper.n.03
aphrodisiacs,aphrodisiac,noun.artifact,noun.artifact,aphrodisiac.n.01
householders,householder,noun.person,noun.person.owner,homeowner.n.01
collations,collation,noun.food,noun.food.nutriment,bite.n.04
peccadilloes,peccadillo,noun.act,noun.act.wrongdoing,indiscretion.n.02
swivels,swivel,noun.artifact,noun.artifact.mechanism,swivel.n.01
paralegals,paralegal,noun.person,noun.person.assistant,paralegal.n.01
soundtracks,soundtrack,noun.artifact,noun.artifact.memory_device,soundtrack.n.01
smashes,smash,noun.event,noun.event.contact,knock.n.03
adrenals,adrenal,noun.body,noun.body.organ,adrenal_gland.n.01
granters,granter,noun.person,noun.person,granter.n.01
admonitions,admonition,noun.communication,noun.communication.proposal,admonition.n.01
yays,yay,noun.communication,noun.communication,yay.n.01
hinterlands,hinterland,noun.location,noun.location.region,backwoods.n.01
usurpers,usurper,noun.person,noun.person.bad_person,usurper.n.01
mutineers,mutineer,noun.person,noun.person.disputant,mutineer.n.01
tummies,tummy,noun.body,noun.body.tissue,pot.n.07
watercolors,watercolor,noun.artifact,noun.artifact.art,watercolor.n.01
trysts,tryst,noun.group,noun.group.gathering,tryst.n.01
partys,party,noun.group,noun.group,party.n.01
backsides,backside,noun.location,noun.location.region,rear.n.02
fatheads,fathead,noun.person,noun.person.simpleton,fathead.n.01
sellouts,sellout,noun.act,noun.act.wrongdoing,sellout.n.01
bangles,bangle,noun.artifact,noun.artifact.decoration,bracelet.n.02
corneas,cornea,noun.body,noun.body.tissue,cornea.n.01
neutrinos,neutrino,noun.object,noun.object.body,neutrino.n.01
surfboards,surfboard,noun.artifact,noun.artifact.sheet,surfboard.n.01
bends,bend,noun.shape,noun.shape.line,bend.n.01
idioms,idiom,noun.communication,noun.communication.expressive_style,parlance.n.01
matts,matt,noun.attribute,noun.attribute.visual_property,flatness.n.04
hurdlers,hurdler,noun.person,noun.person.contestant,hurdler.n.01
provisos,proviso,noun.communication,noun.communication.statement,provision.n.01
arachnids,arachnid,noun.animal,noun.animal.arthropod,arachnid.n.01
printings,printing,noun.communication,noun.communication.writing,printing.n.01
schematics,schematic,noun.artifact,noun.artifact.representation,schematic.n.01
winemakers,winemaker,noun.person,noun.person.creator,vintner.n.02
switchers,switcher,noun.person,noun.person.unwelcome_person,switcher.n.01
merlots,merlot,noun.plant,noun.plant.vine,merlot.n.01
weightings,weighting,noun.quantity,noun.quantity.number,weight.n.08
maces,mace,noun.substance,noun.substance,mace.n.01
chiffons,chiffon,noun.artifact,noun.artifact.fabric,chiffon.n.01
tracings,tracing,noun.act,noun.act.creation,tracing.n.01
misinterpretations,misinterpretation,noun.communication,noun.communication.statement,misinterpretation.n.01
doughs,dough,noun.food,noun.food.foodstuff,dough.n.01
nudges,nudge,noun.act,noun.act.propulsion,nudge.n.01
backstrokes,backstroke,noun.act,noun.act.motion,backstroke.n.01
bankrupts,bankrupt,noun.person,noun.person.unfortunate,bankrupt.n.01
basses,bass,noun.attribute,noun.attribute.sound_property,bass.n.01
matings,mating,noun.act,noun.act.organic_process,coupling.n.03
coliseums,coliseum,noun.artifact,noun.artifact,amphitheater.n.02
quarries,quarry,noun.person,noun.person.unfortunate,prey.n.01
suppressants,suppressant,noun.artifact,noun.artifact,suppressant.n.01
nonconformists,nonconformist,noun.person,noun.person.religious_person,nonconformist.n.01
infatuations,infatuation,noun.feeling,noun.feeling,infatuation.n.01
gateways,gateway,noun.artifact,noun.artifact.way,gateway.n.01
interdictions,interdiction,noun.communication,noun.communication.speech_act,interdiction.n.01
barometers,barometer,noun.artifact,noun.artifact.measuring_instrument,barometer.n.01
shams,sham,noun.artifact,noun.artifact.representation,fake.n.01
ates,ate,noun.person,noun.person,ate.n.01
archers,archer,noun.person,noun.person.expert,archer.n.01
abbeys,abbey,noun.artifact,noun.artifact.building,abbey.n.01
tannins,tannin,noun.substance,noun.substance,tannin.n.01
prefects,prefect,noun.person,noun.person.leader,prefect.n.01
spys,spy,noun.person,noun.person.communicator,spy.n.01
sickles,sickle,noun.artifact,noun.artifact.tool,sickle.n.01
workdays,workday,noun.time,noun.time.calendar_day,workday.n.01
wipeouts,wipeout,noun.event,noun.event.ending,destruction.n.02
theists,theist,noun.person,noun.person.religious_person,theist.n.01
insufficiencies,insufficiency,noun.state,noun.state.imperfection,insufficiency.n.01
spaniards,spaniard,noun.person,noun.person.inhabitant,spaniard.n.01
globs,glob,noun.group,noun.group.collection,ball.n.08
duplications,duplication,noun.artifact,noun.artifact.representation,duplicate.n.02
bleaches,bleach,noun.attribute,noun.attribute.visual_property,bleach.n.01
leadings,leading,noun.artifact,noun.artifact.strip,lead.n.14
quips,quip,noun.communication,noun.communication.auditory_communication,epigram.n.01
eccentrics,eccentric,noun.person,noun.person.anomaly,eccentric.n.01
aviations,aviation,noun.group,noun.group.collection,aviation.n.01
congas,conga,noun.communication,noun.communication.auditory_communication,conga.n.01
thickeners,thickener,noun.substance,noun.substance,thickening.n.01
verifications,verification,noun.cognition,noun.cognition.evidence,confirmation.n.01
olympians,olympian,noun.person,noun.person.contestant,olympian.n.01
demerits,demerit,noun.communication,noun.communication.signal,demerit.n.01
ethnics,ethnic,noun.person,noun.person,ethnic.n.01
racisms,racism,noun.cognition,noun.cognition.attitude,racism.n.01
chasms,chasm,noun.object,noun.object.amorphous_shape,chasm.n.01
vodkas,vodka,noun.food,noun.food.fluid,vodka.n.01
thongs,thong,noun.artifact,noun.artifact,lash.n.02
marionettes,marionette,noun.artifact,noun.artifact.representation,puppet.n.01
physiques,physique,noun.attribute,noun.attribute,physique.n.01
ukes,uke,noun.artifact,noun.artifact.musical_instrument,uke.n.01
evangelists,evangelist,noun.person,noun.person.leader,evangelist.n.01
seaways,seaway,noun.artifact,noun.artifact.way,seaway.n.01
shrapnels,shrapnel,noun.artifact,noun.artifact.weaponry,shrapnel.n.01
drumbeats,drumbeat,noun.event,noun.event.sound,rub-a-dub.n.01
handsprings,handspring,noun.act,noun.act.accomplishment,handspring.n.01
hindus,hindu,noun.person,noun.person.inhabitant,hindu.n.01
