"case","word","IPA","number","lemma","lemma_english","gender","frequency","freq..per.million","noun.type","X"
"gen","dozoru","dɔzɔru","sg","dozór","supervision","m3",241,0.0462,"common",""
"nom","dożynki","dɔʒɨnki","pl","dożynki","harvest festival","n",137,0.02626,"common",""
"nom","Draco","dracɔ","sg","Draco","Draco","m1",280,0.05368,"proper",""
"nom","dramat","dramat","sg","dramat","drama","m3",302,0.05789,"common",""
"gen","dramatu","dramatu","sg","dramat","drama","m3",193,37,"common",""
"gen","drewna","drɛvna","sg","drewno","wood","n",1225,0.23483,"common",""
"nom","drewno","drɛvnɔ","sg","drewno","wood","n",537,0.10294,"common",""
"loc","drodze","drɔdzɛ","sg","droga","way","f",3878,0.74342,"common",""
"gen","dróg","druk","pl","drogi","ways","n",134,0.02569,"common",""
"gen","dróg","druk","pl","droga","way","f",1955,0.37478,"common",""
"nom","droga","drɔga","sg","droga","way","f",1567,0.3004,"common",""
"nom","Droga","drɔga","sg","Droga","Way","f",607,0.11636,"proper","b"
"inst","drogą","drɔgą","sg","droga","way","f",2655,0.50897,"common",""
"loc","drogach","drɔgacx","pl","droga","way","f",737,0.14128,"common",""
"inst","drogami","drɔgami","pl","droga","way","f",249,0.04773,"common",""
"acc","drogę","drɔgɛ","sg","droga","way","f",1841,0.35292,"common",""
"gen","drogi","drɔgi","sg","droga","way","f",3896,0.74687,"common",""
"nom","drogi","drɔgi","pl","droga","way","f",3896,0.74687,"common",""
"acc","drogi","drɔgi","pl","droga","way","f",3896,0.74687,"common",""
"nom","druk","druk","sg","druk","printing","m3",440,0.08435,"common",""
"gen","drukarek","drukarɛk","pl","drukarka","printer","f",141,0.02703,"common",""
"nom","drukarka","drukarka","sg","drukarka","printer","f",142,0.02722,"common",""
"gen","drukarki","drukarki","sg","drukarka","printer","f",241,0.0462,"common",""
"gen","druku","druku","sg","druk","printing","m3",535,0.10256,"common",""
"gen","drużyn","druʒɨn","pl","drużyna","team","f",923,0.17694,"common",""
"nom","drużyna","druʒɨna","sg","drużyna","team","f",1575,0.30193,"common",""
"inst","drużyną","druʒɨną","sg","drużyna","team","f",364,0.06978,"common",""
"acc","drużynę","druʒɨnɛ","sg","drużyna","team","f",453,0.08684,"common",""
"dat","drużynie","druʒɨniɛ","sg","drużyna","team","f",513,0.09834,"common",""
"loc","drużynie","druʒɨniɛ","sg","drużyna","team","f",513,0.09834,"common",""
"gen","drużyny","druʒɨnɨ","sg","drużyna","team","f",2262,0.43363,"common",""
"acc","drużyny","druʒɨnɨ","pl","drużyna","team","f",2262,0.43363,"common",""
"nom","drużyny","druʒɨnɨ","pl","drużyna","team","f",2262,0.43363,"common",""
"gen","drzew","dʒɛv","pl","drzewo","tree","n",1108,0.21241,"common",""
"nom","drzewa","dʒɛva","pl","drzewo","tree","n",1045,0.20033,"common",""
"acc","drzewa","dʒɛva","pl","drzewo","tree","n",1045,0.20033,"common",""
"gen","drzewa","dʒɛva","sg","drzewo","tree","n",1045,0.20033,"common",""
"inst","drzewami","dʒɛvami","pl","drzewo","tree","n",148,0.02837,"common",""
"nom","drzewo","dʒɛvɔ","sg","drzewo","tree","n",588,0.11272,"common",""
"acc","drzewo","dʒɛvɔ","sg","drzewo","tree","n",588,0.11272,"common",""
"gen","drzwi","dʒvi","pl","drzwi","door","n",4795,0.91921,"common",""
"nom","drzwi","dʒvi","pl","drzwi","door","n",4795,0.91921,"common",""
"acc","drzwi","dʒvi","pl","drzwi","door","n",4795,0.91921,"common",""
"loc","drzwiach","dʒviacx","pl","drzwi","door","n",365,0.06997,"common",""
"inst","drzwiami","dʒviami","pl","drzwi","door","n",384,0.07361,"common",""
"nom","duch"," ducx","sg","duch","spirit","m2",665,0.12748,"common",""
"acc","ducha","ducxa","sg","duch","spirit","m2",1674,0.32091,"common",""
"gen","ducha","ducxa","sg","duch","spirit","m2",1674,0.32091,"common",""
"inst","duchem","ducxɛm","sg","duch","spirit","m2",365,0.06997,"common",""
"gen","duchowości","ducxɔvɔɕci","sg","duchowość","spirituality","f",147,0.02818,"common",""
"loc","duchu","ducxu","sg","duch","spirit","m2",540,0.10352,"common",""
"nom","Duda","duda","sg","Duda","Duda","m1",320,0.06134,"proper",""
"nom","duet","duɛt","sg","duet","duo","m3",288,0.05521,"common",""
"inst","dumą","dumą","sg","duma","pride","f",188,0.03604,"common",""
"gen","dumy","dumɨ","sg","duma","pride","f",202,0.03872,"common",""
"gen","dusz","duʃ","pl","dusza","soul","f",243,0.04658,"common",""
"nom","dusza","duʃa","sg","dusza","soul","f",365,0.06997,"common",""
"inst","duszą","duʃą","sg","dusza","soul","f",183,0.03508,"common",""
"acc","dusze","duʃɛ","pl","dusza","soul","f",297,0.05694,"common",""
"acc","duszę","duʃɛ","sg","dusza","soul","f",332,0.06365,"common",""
"gen","duszności","duʃnɔɕci","sg","duszność","dyspnoea","f",174,0.03336,"common",""
"loc","duszy","duʃɨ","sg","dusza","soul","f",832,0.1595,"common",""
"gen","duszy","duʃɨ","sg","dusza","soul","f",832,0.1595,"common",""
"nom","dwójka","dvujka","sg","dwójka","two","f",193,37,"common",""
"gen","dwójki","dvujki","sg","dwójka","two","f",222,0.04256,"common",""
"nom","dwór","dvur","sg","dwór","court","m3",576,0.11042,"common",""
"acc","dwór","dvur","sg","dwór","court","m3",576,0.11042,"common",""
"gen","dworca","dvɔrca","sg","dworzec","station","m3",445,0.08531,"common",""
"loc","dworcu","dvɔrcu","sg","dworzec","station","m3",209,0.04007,"common",""
"gen","dworu","dvɔru","sg","dwór","court","m3",346,0.06633,"common",""
"loc","dworze","dvɔʒɛ","sg","dwór","court","m3",276,0.05291,"common",""
"nom","dworzec","dvɔʒɛc","sg","dworzec","station","m3",309,0.05924,"common",""
"gen","dwutlenku","dvutlɛnku","sg","dwutlenek","dioxide","m3",201,0.03853,"common",""
"nom","dym","dɨm","sg","dym","smoke","m3",292,0.05598,"common",""
"gen","dymu","dɨmu","sg","dym","smoke","m3",221,0.04237,"common",""
"nom","dynamika","dɨnamika","sg","dynamika","dynamics","f",186,0.03566,"common",""
"gen","dynamiki","dɨnamiki","sg","dynamika","dynamics","f",243,0.04658,"common",""
"acc","dyplom","dɨplɔm","sg","dyplom","diploma","m3",451,0.08646,"common",""
"gen","dyplomów","dɨplɔmuv","pl","dyplom","diploma","m3",150,0.02876,"common",""
"acc","dyplomy","dɨplɔmɨ","pl","dyplom","diploma","m3",429,0.08224,"common",""
"nom","dyrekcja","dɨrɛkcja","sg","dyrekcja","management","f",273,0.05233,"common",""
"inst","dyrekcją","dɨrɛkcją","sg","dyrekcja","management","f",141,0.02703,"common",""
"gen","dyrekcji","dɨrɛkcji","sg","dyrekcja","management","f",325,0.0623,"common",""
"nom","dyrektor","dɨrɛktɔr","sg","dyrektor","director","f",266,0.05099,"common",""
"nom","dyrektor","dɨrɛktɔr","sg","dyrektor","director","m1",3404,0.65255,"common",""
"acc","dyrektora","dɨrɛktɔra","sg","dyrektor","director","m1",1860,0.35657,"common",""
"gen","dyrektora","dɨrɛktɔra","sg","dyrektor","director","m1",1860,0.35657,"common",""
"inst","dyrektorem","dɨrɛktɔrɛm","sg","dyrektor","director","m1",533,0.10218,"common",""
"gen","dyrektorów","dɨrɛktɔruv","pl","dyrektor","director","m1",296,0.05674,"common",""
"dat","dyrektorowi","dɨrɛktɔrɔvi","sg","dyrektor","director","m1",158,0.03029,"common",""
"nom","dyrektorzy","dɨrɛktɔʒɨ","pl","dyrektor","director","m1",236,0.04524,"common",""
"nom","dyrektywa","dɨrɛktɨva","sg","dyrektywa","directive","f",148,0.02837,"common",""
"gen","dyrektywy","dɨrɛktɨvɨ","sg","dyrektywa","directive","f",473,0.09068,"common",""
"gen","dyscyplin","dɨscɨplin","pl","dyscyplina","discipline","f",204,0.03911,"common",""
"nom","dyscyplina","dɨscɨplina","sg","dyscyplina","discipline","f",155,0.02971,"common",""
"loc","dyscyplinie","dɨscɨpliniɛ","sg","dyscyplina","discipline","f",155,0.02971,"common",""
"gen","dyscypliny","dɨscɨplinɨ","sg","dyscyplina","discipline","f",396,0.07591,"common",""
"nom","dysk","dɨsk","sg","dysk","disk","m3",318,0.06096,"common",""
"acc","dysk","dɨsk","sg","dysk","disk","m3",318,0.06096,"common",""
"gen","dysków","dɨskuv","pl","dysk","disk","m3",157,0.0301,"common",""
"gen","dysku","dɨsku","sg","dysk","disk","m3",488,0.09355,"common",""
"loc","dysku","dɨsku","sg","dysk","disk","m3",488,0.09355,"common",""
"nom","dyskusja","dɨskusja","sg","dyskusja","discussion","f",912,0.17483,"common",""
"nom","dyskusje","dɨskusjɛ","pl","dyskusja","discussion","f",469,0.08991,"common",""
"acc","dyskusje","dɨskusjɛ","pl","dyskusja","discussion","f",469,0.08991,"common",""
"acc","dyskusję","dɨskusjɛ","sg","dyskusja","discussion","f",478,0.09163,"common",""
"gen","dyskusji","dɨskusji","sg","dyskusja","discussion","f",1916,0.3673,"common",""
"loc","dyskusji","dɨskusji","sg","dyskusja","discussion","f",1916,0.3673,"common",""
"gen","dyskusji","dɨskusji","pl","dyskusja","discussion","f",1916,0.3673,"common",""
"gen","dyspozycji","dɨspɔzɨcji","sg","dyspozycja","disposition","f",1686,0.32321,"common",""
"nom","dystans","dɨstans","sg","dystans","distance","m3",453,0.08684,"common",""
"acc","dystans","dɨstans","sg","dystans","distance","m3",453,0.08684,"common",""
"loc","dystansie","dɨstansiɛ","sg","dystans","distance","m3",379,0.07266,"common",""
"gen","dystansu","dɨstansu","sg","dystans","distance","m3",290,0.05559,"common",""
"nom","dystrybucja","dɨstrɨbucja","sg","dystrybucja","distribution","f",240,0.04601,"common",""
"inst","dystrybucją","dɨstrɨbucją","sg","dystrybucja","distribution","f",144,0.02761,"common",""
"gen","dystrybucji","dɨstrɨbucji","sg","dystrybucja","distribution","f",607,0.11636,"common",""
"nom","dystrybutor","dɨstrɨbutɔr","sg","dystrybutor","distributor","m1",168,0.03221,"common",""
"gen","dystrybutora","dɨstrɨbutɔra","sg","dystrybutor","distributor","m1",134,0.02569,"common",""
"inst","dystrybutorem","dɨstrɨbutɔrɛm","sg","dystrybutor","distributor","m3",169,0.0324,"common",""
"gen","dystrybutorów","dɨstrɨbutɔruv","pl","dystrybutor","distributor","m1",167,0.03201,"common",""
"gen","dywizji","dɨvizji","sg","dywizja","division","f",314,0.06019,"common",""
"nom","dziadek"," dziadɛk","sg","dziadek","grandpa","m1",374,0.0717,"common",""
"gen","dziadka","dziadka","sg","dziadek","grandpa","m1",318,0.06096,"common",""
"gen","dziadków","dziadkuv","pl","dziadkowie","grandparents","m1",189,0.03623,"common",""
"nom","dział","dziaw","sg","działo","gun","n",154,0.02952,"common",""
"gen","dział","dziaw","pl","działo","gun","n",154,0.02952,"common",""
"acc","dział","dziaw","sg","działo","gun","n",154,0.02952,"common",""
"nom","dział","dziaw","sg","dział","department","m3",971,0.18614,"common",""
"gen","dział","dziaw","pl","dział","department","m3",971,0.18614,"common",""
"acc","dział","dziaw","sg","dział","department","m3",971,0.18614,"common",""
"loc","działach","dziawacx","pl","dział","department","m3",141,0.02703,"common",""
"nom","działacz","dziawatʃ","sg","działacz","activist","m1",199,0.03815,"common",""
"nom","działacze","dziawatʃɛ","pl","działacz","activist","m1",285,0.05464,"common",""
"gen","działaczy","dziawatʃɨ","pl","działacz","activist","m1",397,0.07611,"common",""
"acc","działalność","dziawalnɔɕtɕ","sg","działalność","activity","f",4218,0.8086,"common",""
"nom","działalność","dziawalnɔɕtɕ","sg","działalność","activity","f",4218,0.8086,"common",""
"gen","działalności","dziawalnɔɕci","sg","działalność","activity","f",6454,1.23724,"common",""
"loc","działalności","dziawalnɔɕci","sg","działalność","activity","f",6454,1.23724,"common",""
"dat","działalności","dziawalnɔɕci","sg","działalność","activity","f",6454,1.23724,"common",""
"inst","działalnością","dziawalnɔɕcią","sg","działalność","activity","f",628,0.12039,"common",""
"gen","działań","dziawaɲ","pl","działania","actions","n",4202,0.80553,"common",""
"nom","działania","dziawania","pl","działania","actions","n",1997,0.38283,"common",""
"gen","działania","dziawania","sg","działania","actions","n",1997,0.38283,"common",""
"acc","działania","dziawania","pl","działania","actions","n",1997,0.38283,"common",""
"nom","działania","dziawania","pl","działanie","action","n",3950,0.75722,"common",""
"gen","działania","dziawania","sg","działanie","action","n",3950,0.75722,"common",""
"acc","działania","dziawania","pl","działanie","action","n",3950,0.75722,"common",""
"loc","działaniach","dziawaniacx","pl","działanie","action","n",543,0.10409,"common",""
"inst","działaniami","dziawaniami","pl","działania","actions","n",275,0.05272,"common",""
"nom","działanie","dziawaniɛ","sg","działanie","action","n",1776,0.34046,"common",""
"acc","działanie","dziawaniɛ","sg","działanie","action","n",1776,0.34046,"common",""
"inst","działaniem","dziawaniɛm","sg","działanie","action","n",245,0.04697,"common",""
"loc","działaniu","dziawaniu","sg","działanie","action","n",338,0.0648,"common",""
"loc","działce","dziawcɛ","sg","działka","plot","f",380,0.07285,"common",""
"loc","dziale","dzialɛ","sg","dział","department","m3",968,0.18557,"common",""
"gen","działek","dziawɛk","pl","działka","plot","f",367,0.07035,"common",""
"nom","działka","dziawka","sg","działka","plot","f",567,0.1087,"common",""
"acc","działkę","dziawkɛ","sg","działka","plot","f",336,0.06441,"common",""
"nom","działki","dziawki","pl","działka","plot","f",1039,0.19918,"common",""
"acc","działki","dziawki","pl","działka","plot","f",1039,0.19918,"common",""
"gen","działki","dziawki","sg","działka","plot","f",1039,0.19918,"common",""
"gen","działów","dziawuv","pl","dział","department","m3",296,0.05674,"common",""
"gen","działu","dziawu","sg","dział","department","m3",761,0.14589,"common",""
"nom","dzieci","dziɛci","pl","dziecko","kid","n",16733,3.20775,"common",""
"acc","dzieci","dziɛci","pl","dziecko","kid","n",16733,3.20775,"common",""
"gen","dzieci","dziɛci","pl","dziecko","kid","n",16733,3.20775,"common",""
"loc","dzieciach","dziɛciacx","pl","dziecko","kid","n",145,0.0278,"common",""
"nom","dzieciaki","dziɛciaki","pl","dzieciak","child","m2",250,0.04793,"common",""
"gen","dzieciństwa","dziɛciɲstfa","sg","dzieciństwo","childhood","n",452,0.08665,"common",""
"loc","dzieciństwie","dziɛciɲstfiɛ","sg","dzieciństwo","childhood","n",237,0.04543,"common",""
"dat","dzieciom","dziɛciɔm","pl","dziecko","kid","n",1324,0.25381,"common",""
"gen","dziecka","dziɛcka","sg","dziecko","kid","n",4042,0.77486,"common",""
"gen","dziecka","dziɛcka","sg","Dziecko","Kid","n",542,0.1039,"common",""
"inst","dzieckiem","dziɛckiɛm","sg","dziecko","kid","n",937,0.17962,"common",""
"acc","dziecko","dziɛckɔ","sg","dziecko","kid","n",3917,0.7509,"common",""
"nom","dziecko","dziɛckɔ","sg","dziecko","kid","n",3917,0.7509,"common",""
"dat","dziecku","dziɛcku","sg","dziecko","kid","n",694,0.13304,"common",""
"inst","dziećmi","dziɛtɕmi","pl","dziecko","kid","n",1297,0.24864,"common",""
"gen","dziedzictwa","dziɛdzictfa","sg","dziedzictwo","heritage","n",963,0.18461,"common",""
"nom","dziedzictwo","dziɛdzictfɔ","sg","dziedzictwo","heritage","n",306,0.05866,"common",""
"gen","dziedzin","dziɛdzin","pl","dziedzina","field","f",461,0.08837,"common",""
"loc","dziedzinach","dziɛdzinacx","pl","dziedzina","field","f",408,0.07821,"common",""
"loc","dziedzińcu","dziɛdziɲcu","sg","dziedziniec","courtyard","m3",141,0.02703,"common",""
"loc","dziedzinie","dziɛdziniɛ","sg","dziedzina","field","f",1907,0.36558,"common",""
"gen","dziedziny","dziɛdzinɨ","sg","dziedzina","field","f",651,0.1248,"common",""
"loc","dziejach","dziɛjacx","pl","dzieje","happening","n",413,0.07917,"common",""
"nom","dzieje","dziɛjɛ","pl","dzieje","happening","n",432,0.08282,"common",""
"acc","dzieje","dziɛjɛ","pl","dzieje","happening","n",432,0.08282,"common",""
"gen","dziejów","dziɛjuv","pl","dzieje","happening","n",480,0.09202,"common",""
"nom","dziekan","dziɛkan","sg","dziekan","dean","m1",165,0.03163,"common",""
"gen","dzieł","dziɛw","pl","dzieło","work","n",690,0.13227,"common",""
"acc","dzieła","dziɛwa","pl","dzieło","work","n",1180,0.22621,"common",""
"gen","dzieła","dziɛwa","sg","dzieło","work","n",1180,0.22621,"common",""
"nom","dzieła","dziɛwa","pl","dzieło","work","n",1180,0.22621,"common",""
"loc","dziele","dziɛlɛ","sg","dzieło","work","n",158,0.03029,"common",""
"inst","dziełem","dziɛwɛm","sg","dzieło","work","n",287,0.05502,"common",""
"gen","dzielnic","dziɛlnic","pl","dzielnica","district","f",222,0.04256,"common",""
"nom","dzielnica","dziɛlnica","sg","dzielnica","district","f",164,0.03144,"common",""
"gen","dzielnicy","dziɛlnicɨ","sg","dzielnica","district","f",976,0.1871,"common",""
"loc","dzielnicy","dziɛlnicɨ","sg","dzielnica","district","f",976,0.1871,"common",""
"nom","dzieło","dziɛwɔ","sg","dzieło","work","n",1102,0.21126,"common",""
"acc","dzieło","dziɛwɔ","sg","dzieło","work","n",1102,0.21126,"common",""
"nom","dzień","dziɛɲ","sg","dzień","day","m3",8566,1.64212,"common",""
"acc","dzień","dziɛɲ","sg","dzień","day","m3",8566,1.64212,"common",""
"nom","Dzień","dziɛɲ","sg","Dzień","Day","m3",1979,0.37938,"proper","b"
"acc","Dzień","dziɛɲ","sg","Dzień","Day","m3",1979,0.37938,"proper","b"
"nom","dziennik","dziɛnnik","sg","dziennik","diary","m3",768,0.14723,"common",""
"acc","dziennik","dziɛnnik","sg","dziennik","diary","m3",768,0.14723,"common",""
"gen","dziennika","dziɛnnika","sg","dziennik","diary","m3",430,0.08243,"common",""
"nom","dziennikarka","dziɛnnikarka","sg","dziennikarka","journalist","f",180,0.03451,"common",""
"gen","dziennikarstwa","dziɛnnikarstfa","sg","dziennikarstwo","journalism","n",153,0.02933,"common",""
"nom","dziennikarz","dziɛnnikaʒ","sg","dziennikarz","journalist","m1",445,0.08531,"common",""
"gen","dziennikarza","dziɛnnikaʒa","sg","dziennikarz","journalist","m1",186,0.03566,"common",""
"nom","dziennikarze","dziɛnnikaʒɛ","pl","dziennikarz","journalist","m1",414,0.07936,"common",""
"gen","dziennikarzy","dziɛnnikaʒɨ","pl","dziennikarz","journalist","m1",661,0.12672,"common",""
"loc","dzienniku","dziɛnniku","sg","dziennik","diary","m3",351,0.06729,"common",""
"gen","dzierżawy","dziɛrʒavɨ","sg","dzierżawa","lease","f",151,0.02895,"common",""
"acc","dziesiątkę","dziɛsiɔntkɛ","sg","dziesiątka","ten","f",166,0.03182,"common",""
"acc","dziesiątki","dziɛsiɔntki","pl","dziesiątka","ten","f",193,37,"common",""
"acc","dziesiątki","dziɛsiɔntki","pl","dziesiątek","tens","m3",186,0.03566,"common",""
"gen","dziewcząt","dziɛvtʃɔnt","pl","dziewczę","girl","n",608,0.11655,"common",""
"nom","dziewczęta","dziɛvtʃɛnta","pl","dziewczę","girl","n",303,0.05809,"common",""
"gen","dziewczyn","dziɛvtʃɨn","pl","dziewczyna","girl","f",308,0.05904,"common",""
"nom","dziewczyna","dziɛvtʃɨna","sg","dziewczyna","girl","f",1109,0.2126,"common",""
"inst","dziewczyną","dziɛvtʃɨną","sg","dziewczyna","girl","f",259,0.04965,"common",""
"acc","dziewczynę","dziɛvtʃɨnɛ","sg","dziewczyna","girl","f",329,0.06307,"common",""
"gen","dziewczynek","dziɛvtʃɨnɛk","pl","dziewczynka","girl","f",179,0.03431,"common",""
"nom","dziewczynka","dziɛvtʃɨnka","sg","dziewczynka","girl","f",326,0.06249,"common",""
"gen","dziewczynki","dziɛvtʃɨnki","sg","dziewczynka","girl","f",398,0.0763,"common",""
"nom","dziewczynki","dziɛvtʃɨnki","pl","dziewczynka","girl","f",398,0.0763,"common",""
"acc","dziewczyny","dziɛvtʃɨnɨ","pl","dziewczyna","girl","f",1290,0.2473,"common",""
"gen","dziewczyny","dziɛvtʃɨnɨ","sg","dziewczyna","girl","f",1290,0.2473,"common",""
"nom","dziewczyny","dziɛvtʃɨnɨ","pl","dziewczyna","girl","f",1290,0.2473,"common",""
"gen","dziś","dziɕ","sg","dziś","today","n",1681,0.32225,"common",""
"gen","dzisiaj","dzisiaj","sg","dzisiaj","today","n",771,0.1478,"common",""
"nom","dziura","dziura","sg","dziura","hole","f",147,0.02818,"common",""
"acc","dziwo","dzivɔ","sg","dziwo","wonder","n",195,0.03738,"common",""
"nom","dźwięk","dʑviɛŋk","sg","dźwięk","sound","m3",666,0.12767,"common",""
"acc","dźwięk","dʑviɛŋk","sg","dźwięk","sound","m3",666,0.12767,"common",""
"nom","dźwięki","dʑviɛŋki","pl","dźwięk","sound","m3",438,0.08397,"common",""
"acc","dźwięki","dʑviɛŋki","pl","dźwięk","sound","m3",438,0.08397,"common",""
"inst","dźwiękiem","dʑviɛŋkiɛm","sg","dźwięk","sound","m3",150,0.02876,"common",""
"gen","dźwięków","dʑviɛŋkuv","pl","dźwięk","sound","m3",302,0.05789,"common",""
"gen","dźwięku","dʑviɛŋku","sg","dźwięk","sound","m3",582,0.11157,"common",""
"nom","e-mail","ɛ-mail","sg","e-mail","e-mail","m3",2389,0.45798,"common",""
"acc","e-mail","ɛ-mail","sg","e-mail","e-mail","m3",2389,0.45798,"common",""
"nom","echo","ɛcxɔ","sg","echo","echo","n",150,0.02876,"common",""
"nom","Echo"," ɛcxɔ","sg","Echo","Echo","n",133,0.0255,"proper","b"
"nom","edukacja","ɛdukacja","sg","edukacja","education","f",712,0.13649,"common",""
"acc","edukację","ɛdukacjɛ","sg","edukacja","education","f",354,0.06786,"common",""
"gen","edukacji","ɛdukacji","sg","edukacja","education","f",2799,0.53657,"common",""
"loc","edukacji","ɛdukacji","sg","edukacja","education","f",2799,0.53657,"common",""
"nom","Edward","ɛdvart","sg","Edward","Edward","m1",386,74,"proper",""
"gen","Edwarda","ɛdvarda","sg","Edward","Edward","m1",222,0.04256,"proper",""
"nom","edycja","ɛdɨcja","sg","edycja","edition","f",2062,0.39529,"common",""
"acc","edycję","ɛdɨcjɛ","sg","edycja","edition","f",545,0.10448,"common",""
"gen","edycji","ɛdɨcji","sg","edycja","edition","f",2917,0.55919,"common",""
"gen","edycji","ɛdɨcji","pl","edycja","edition","f",2917,0.55919,"common",""
"loc","edycji","ɛdɨcji","sg","edycja","edition","f",2917,0.55919,"common",""
"nom","Edyta","ɛdɨta","sg","Edyta","Edyta","f",262,0.05023,"proper",""
"loc","efekcie","ɛfɛkciɛ","sg","efekt","effect","m3",779,0.14934,"common",""
"nom","efekt","ɛfɛkt","sg","efekt","effect","m3",2311,0.44302,"common",""
"acc","efekt","ɛfɛkt","sg","efekt","effect","m3",2311,0.44302,"common",""
"inst","efektem","ɛfɛktɛm","sg","efekt","effect","m3",824,0.15796,"common",""
"gen","efektów","ɛfɛktuv","pl","efekt","effect","m3",663,0.1271,"common",""
"gen","efektu","ɛfɛktu","sg","efekt","effect","m3",481,0.09221,"common",""
"acc","efekty","ɛfɛktɨ","pl","efekt","effect","m3",1590,0.30481,"common",""
"nom","efekty","ɛfɛktɨ","pl","efekt","effect","m3",1590,0.30481,"common",""
"acc","efektywność","ɛfɛktɨvnɔɕtɕ","sg","efektywność","efficiency","f",423,0.08109,"common",""
"nom","efektywność","ɛfɛktɨvnɔɕtɕ","sg","efektywność","efficiency","f",423,0.08109,"common",""
"gen","efektywności","ɛfɛktɨvnɔɕci","sg","efektywność","efficiency","f",518,0.0993,"common",""
"loc","Egipcie","ɛgipciɛ","sg","Egipt","Egypt","m3",174,0.03336,"proper",""
"gen","Egiptu","ɛgiptu","sg","Egipt","Egypt","m3",234,0.04486,"proper",""
"acc","ego","ɛgɔ","sg","ego","ego","n",1113,0.21336,"common",""
"gen","ego","ɛgɔ","sg","ego","ego","n",1113,0.21336,"common",""
"nom","ego","ɛgɔ","sg","ego","ego","n",1113,0.21336,"common",""
"acc","egzamin","ɛgzamin","sg","egzamin","exam","m3",743,0.14243,"common",""
"nom","egzamin","ɛgzamin","sg","egzamin","exam","m3",743,0.14243,"common",""
"loc","egzaminie","ɛgzaminiɛ","sg","egzamin","exam","m3",154,0.02952,"common",""
"gen","egzaminów","ɛgzaminuv","pl","egzamin","exam","m3",318,0.06096,"common",""
"gen","egzaminu","ɛgzaminu","sg","egzamin","exam","m3",860,0.16486,"common",""
"gen","egzekucji","ɛgzɛkucji","sg","egzekucja","execution","f",282,0.05406,"common",""
"acc","egzemplarz","ɛgzɛmplaʒ","sg","egzemplarz","a copy","m3",243,0.04658,"common",""
"gen","egzemplarzy","ɛgzɛmplaʒɨ","pl","egzemplarz","a copy","m3",421,0.08071,"common",""
"gen","egzystencji","ɛgzɨstɛncji","sg","egzystencja","existence","f",208,0.03987,"common",""
"gen","ekip","ɛkip","pl","ekipa","team","f",161,0.03086,"common",""
"nom","ekipa","ɛkipa","sg","ekipa","team","f",618,0.11847,"common",""
"inst","ekipą","ɛkipą","sg","ekipa","team","f",177,0.03393,"common",""
"acc","ekipę","ɛkipɛ","sg","ekipa","team","f",223,0.04275,"common",""
"gen","ekipy","ɛkipɨ","sg","ekipa","team","f",628,0.12039,"common",""
"nom","ekipy","ɛkipɨ","pl","ekipa","team","f",628,0.12039,"common",""
"nom","ekonomia","ɛkɔnɔmia","sg","ekonomia","economy","f",210,0.04026,"common",""
"gen","ekonomii","ɛkɔnɔmii","sg","ekonomia","economy","f",461,0.08837,"common",""
"nom","ekran","ɛkran","sg","ekran","screen","m3",542,0.1039,"common",""
"acc","ekran","ɛkran","sg","ekran","screen","m3",542,0.1039,"common",""
"inst","ekranem","ɛkranɛm","sg","ekran","screen","m3",150,0.02876,"common",""
"loc","ekranie","ɛkraniɛ","sg","ekran","screen","m3",608,0.11655,"common",""
"gen","ekranu","ɛkranu","sg","ekran","screen","m3",558,0.10697,"common",""
"acc","ekrany","ɛkranɨ","pl","ekran","screen","m3",201,0.03853,"common",""
"gen","ekspansji","ɛkspansji","sg","ekspansja","expansion","f",153,0.02933,"common",""
"nom","eksperci","ɛkspɛrci","pl","ekspert","expert","m1",692,0.13266,"common",""
"nom","ekspert","ɛkspɛrt","sg","ekspert","expert","m1",402,0.07706,"common",""
"gen","ekspertów","ɛkspɛrtuv","pl","ekspert","expert","m1",857,0.16429,"common",""
"gen","eksperymentów","ɛkspɛrɨmɛntuv","pl","eksperyment","experiment","m3",169,0.0324,"common",""
"gen","eksperymentu","ɛkspɛrɨmɛntu","sg","eksperyment","experiment","m3",169,0.0324,"common",""
"gen","eksploatacji","ɛksplɔatacji","sg","eksploatacja","exploitation","f",780,0.14953,"common",""
"gen","eksportu","ɛkspɔrtu","sg","eksport","export","m3",300,0.05751,"common",""
"nom","ekspozycja","ɛkspɔzɨcja","sg","ekspozycja","exposure","f",351,0.06729,"common",""
"acc","ekspozycję","ɛkspɔzɨcjɛ","sg","ekspozycja","exposure","f",179,0.03431,"common",""
"gen","ekspozycji","ɛkspɔzɨcji","sg","ekspozycja","exposure","f",492,0.09432,"common",""
"gen","ekspresji","ɛksprɛsji","sg","ekspresja","expression","f",180,0.03451,"common",""
"gen","ekstraklasy","ɛkstraklasɨ","sg","ekstraklasa","top league","f",335,0.06422,"common",""
"inst","El","ɛl","sg","El","El","m1",168,0.03221,"proper",""
"acc","elastyczność","ɛlastɨtʃnɔɕtɕ","sg","elastyczność","flexibility","f",260,0.04984,"common",""
"nom","Elbląg","ɛlbląk","sg","Elbląg","Elblag","m3",141,0.02703,"proper",""
"loc","Elblągu","ɛlblągu","sg","Elbląg","Elblag","m3",235,0.04505,"proper",""
"gen","elektroniki","ɛlɛktrɔniki","sg","elektronika","electronics","f",290,0.05559,"common",""
"gen","elektrowni","ɛlɛktrɔvni","sg","elektrownia","power station","f",503,0.09643,"common",""
